,success,failure_predator,failure_timeout
0,0,1,0
1,1,0,0
2,1,0,0
3,0,1,0
4,0,1,0
5,1,0,0
6,0,1,0
7,1,0,0
8,1,0,0
9,0,1,0
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,0,1,0
15,0,1,0
16,1,0,0
17,0,1,0
18,0,1,0
19,0,1,0
20,0,1,0
21,1,0,0
22,0,1,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,0,1,0
29,1,0,0
30,1,0,0
31,0,1,0
32,0,1,0
33,0,1,0
34,1,0,0
35,0,1,0
36,0,1,0
37,0,1,0
38,0,1,0
39,0,1,0
40,0,1,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,0,1,0
46,0,1,0
47,0,1,0
48,0,1,0
49,0,1,0
50,0,1,0
51,1,0,0
52,1,0,0
53,1,0,0
54,1,0,0
55,0,1,0
56,0,1,0
57,0,1,0
58,0,1,0
59,1,0,0
60,0,1,0
61,1,0,0
62,1,0,0
63,1,0,0
64,0,1,0
65,0,1,0
66,1,0,0
67,1,0,0
68,1,0,0
69,1,0,0
70,1,0,0
71,1,0,0
72,0,1,0
73,1,0,0
74,1,0,0
75,0,1,0
76,1,0,0
77,0,1,0
78,1,0,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,1,0,0
85,1,0,0
86,1,0,0
87,0,1,0
88,1,0,0
89,1,0,0
90,1,0,0
91,1,0,0
92,1,0,0
93,1,0,0
94,1,0,0
95,1,0,0
96,0,1,0
97,1,0,0
98,1,0,0
99,1,0,0
